tp_c,chi,pyroxenite_frac,h_km,fbar,pbar_gpa,vp_bulk_km_s,v_lc_theory_km_s,bulk_in_bounds,h_match_km,vlc_match_km_s,feasible
1290.0,6.0,0.0,3.0581718036561583,0.03142226969530186,1.0304579742493873,7.1021561005087035,7.251762692665251,False,-26.94182819634384,0.25176269266525075,False
1290.0,8.0,0.0,3.730743943877904,0.030077125414858363,1.0416675099197499,7.100730101022134,7.250353627737111,False,-26.269256056122096,0.2503536277371108,False
1290.0,10.0,0.0,4.307477854645207,0.02892365759332376,1.0512797417658715,7.099356222620284,7.248996064926038,False,-25.692522145354793,0.24899606492603787,False
1290.0,12.0,0.0,4.810594736334252,0.02791742382994567,1.0596650231273557,7.098043217153596,7.247698652149252,False,-25.189405263665748,0.24769865214925169,False
1290.0,16.0,0.0,5.653270188430795,0.026232072925752584,1.0737096139956313,7.095603956696437,7.24528835930332,False,-24.346729811569205,0.24528835930331994,False
1300.0,1.0,0.0,0.8289730672097022,0.03989734931255868,1.0267770131783125,7.126618840782087,7.275934923924845,False,-29.171026932790298,0.2759349239248454,False
1300.0,2.0,0.0,1.539642660050788,0.03847601012687651,1.0386215063923305,7.12622511723834,7.275545876073074,False,-28.460357339949212,0.2755458760730738,False
1300.0,4.0,0.0,2.7095595903613976,0.03613617626625529,1.0581201218975074,7.125151995687243,7.27448549845336,False,-27.290440409638602,0.2744854984533598,False
1300.0,6.0,0.0,3.6466098997173084,0.03426207564754347,1.0737376270534391,7.123905379826749,7.273253686868273,False,-26.35339010028269,0.2732536868682729,False
1300.0,8.0,0.0,4.423843796912838,0.03270760785315241,1.0866915253400313,7.122606695494895,7.271970425154663,False,-25.576156203087162,0.2719704251546631,False
1300.0,10.0,0.0,5.084861860259274,0.03138557172645954,1.0977084930624719,7.121311616677944,7.270690726138409,False,-24.915138139740726,0.27069072613840905,False
1300.0,12.0,0.0,5.657756191460582,0.030239783064056922,1.107256731915827,7.120046563746616,7.269440696433235,False,-24.34224380853942,0.269440696433235,False
1300.0,16.0,0.0,6.610215709667244,0.028334864027643594,1.1231310572192714,7.117648538353834,7.267071148961738,False,-23.389784290332756,0.26707114896173767,False
1310.0,1.0,0.0,0.9939314835754587,0.043602602746756376,1.0631527390088185,7.145645172532016,7.294735307117461,False,-29.00606851642454,0.29473530711746143,False
1310.0,2.0,0.0,1.8343355068313763,0.04192179470024454,1.0771594727297504,7.145613286188653,7.2947037994426385,False,-28.165664493168624,0.29470379944263847,False
1310.0,4.0,0.0,3.1978096345546376,0.03919484644479802,1.099884041525138,7.145013371029224,7.294111008618398,False,-26.802190365445362,0.29411100861839756,False
1310.0,6.0,0.0,4.27453127666001,0.03704140316058728,1.1178294022268944,7.1440508386099015,7.293159906821351,False,-25.72546872333999,0.2931599068213506,False
1310.0,8.0,0.0,5.158712874323154,0.03527303996526099,1.1325657621879466,7.142932402617611,7.292054752895315,False,-24.841287125676846,0.29205475289531524,False
1310.0,10.0,0.0,5.905044131921823,0.03378037745006365,1.1450046164812577,7.141755461570837,7.290891788695737,False,-24.094955868078177,0.2908917886957374,False
1310.0,12.0,0.0,6.548065644523323,0.032494334424860646,1.155721641691283,7.14056909031209,7.2897195062733395,False,-23.451934355476677,0.28971950627333953,False
1310.0,16.0,0.0,7.6100208210788445,0.030370424071749606,1.173420894633875,7.13825803164582,7.2874358927488005,False,-22.389979178921156,0.28743589274880055,False
1320.0,1.0,0.0,1.1739998318831724,0.04729638210769422,1.0999365119602242,7.162882308132018,7.311767741886414,False,-28.826000168116828,0.3117677418864142,False
1320.0,2.0,0.0,2.1531599521892204,0.04533806186708213,1.1162558472986583,7.163300411780171,7.3121808803149255,False,-27.84684004781078,0.3121808803149255,False
1320.0,4.0,0.0,3.7195548098383178,0.04220527215178393,1.1423624282594766,7.163284341673854,7.3121650010503,False,-26.280445190161682,0.31216500105029965,False
1320.0,6.0,0.0,4.940037463240618,0.03976430684497933,1.1627038058161816,7.1626727794195295,7.311560701447068,False,-25.059962536759382,0.3115607014470676,False
1320.0,8.0,0.0,5.932976973554762,0.03777842782435104,1.1792527976547507,7.1617799030064875,7.310678428451439,False,-24.067023026445238,0.310678428451439,False
1320.0,10.0,0.0,6.765327492077827,0.03611372678730491,1.193125306296802,7.160754284275875,7.309664989529082,False,-23.234672507922173,0.3096649895290824,False
1320.0,12.0,0.0,7.478608290830209,0.03468716518980015,1.2050133196093415,7.159672302180103,7.308595856588723,False,-22.52139170916979,0.308595856588723,False
1320.0,16.0,0.0,8.649530278606566,0.032345321214247436,1.2245286860722808,7.157486295605205,7.306435810090542,False,-21.350469721393434,0.30643581009054177,False
1330.0,1.0,0.0,1.3692235514821185,0.050978860226108896,1.1371312869336447,7.178435002322808,7.3271357389500364,False,-28.63077644851788,0.32713573895003645,False
1330.0,2.0,0.0,2.4958036305397826,0.04872570006799357,1.1559076215846058,7.179384232205102,7.328073696185281,False,-27.504196369460217,0.3280736961852808,False
1330.0,4.0,0.0,4.273687687352673,0.04516993195436778,1.1855390225314872,7.180049604592136,7.32873116689516,False,-25.726312312647327,0.32873116689516024,False
1330.0,6.0,0.0,5.641435358376217,0.0424344366123207,1.2083348170485464,7.179845750951947,7.328529734133389,False,-24.358564641623783,0.32852973413338926,False
1330.0,8.0,0.0,6.74455359453043,0.04022820014001227,1.2267201209844498,7.17921601592566,7.327907477570242,False,-23.25544640546957,0.32790747757024175,False
1330.0,10.0,0.0,7.663375396793089,0.03839055653548695,1.2420338176888275,7.178368919206256,7.32707044060824,False,-22.33662460320691,0.32707044060823964,False
1330.0,12.0,0.0,8.446883170688448,0.03682354098769623,1.2550922805870837,7.177412296444633,7.326125178288331,False,-21.553116829311552,0.326125178288331,False
1330.0,16.0,0.0,9.726074297046758,0.034265158734979616,1.2764121326930553,7.175382442588398,7.3241194301060855,False,-20.273925702953242,0.32411943010608546,False
1340.0,1.0,0.0,1.5796509957569072,0.05465021034623035,1.1747401194104832,7.19240737624534,7.34094218295126,False,-28.420349004243093,0.34094218295126044,False
1340.0,2.0,0.0,2.8619736008900105,0.05208556513596414,1.196112162829368,7.1939598919440595,7.342476261639265,False,-27.13802639910999,0.34247626163926537,False
1340.0,4.0,0.0,4.85919591676074,0.04809112050422268,1.2293992014272137,7.195389679237943,7.343889069392344,False,-25.14080408323926,0.3438890693923442,False
1340.0,6.0,0.0,6.37720988770695,0.04505509256233026,1.2546994342763171,7.195639846899947,7.344136266170468,False,-23.62279011229305,0.34413626617046766,False
1340.0,8.0,0.0,7.591607209552713,0.04262629791863874,1.274939389640413,7.195303283218259,7.343803699374742,False,-22.408392790447287,0.3438036993747424,False
1340.0,10.0,0.0,8.597151368463663,0.04061520960081683,1.2916984589555958,7.194656257595973,7.343164357551301,False,-21.402848631536337,0.34316435755130126,False
1340.0,12.0,0.0,9.450729333050127,0.038908053671643905,1.3059247583653701,7.193841604097208,7.342359378528161,False,-20.549270666949873,0.3423593785281609,False
1340.0,16.0,0.0,10.837374698817733,0.03613476294010869,1.329035514461497,7.191992749082792,7.340532479723102,False,-19.162625301182267,0.34053247972310174,False
1350.0,1.0,0.0,1.8053334891314137,0.05831060622057121,1.212766168142474,7.204902478883854,7.353288899108778,False,-28.194666510868586,0.3532888991087777,False
1350.0,2.0,0.0,3.2513955611341245,0.05541848207656578,1.2368672026758523,7.207119960913303,7.355480047272509,False,-26.748604438865875,0.3554800472725086,False
1350.0,4.0,0.0,5.475152882121495,0.05097096743459104,1.2739298246923085,7.209381585610412,7.357714813884506,False,-24.524847117878505,0.3577148138845061,False
1350.0,6.0,0.0,7.14600116074465,0.04762927087734474,1.3017772960026943,7.210121749561746,7.3584461879661385,False,-22.85399883925535,0.3584461879661385,False
1350.0,8.0,0.0,8.472513055857121,0.044976247087119794,1.3238858275879024,7.210101207893302,7.358425890241741,False,-21.52748694414288,0.3584258902417412,False
1350.0,10.0,0.0,9.56487110258431,0.042791530993665415,1.3420917950333555,7.20967058672263,7.358000382943439,False,-20.43512889741569,0.3580003829434393,False
1350.0,12.0,0.0,10.48826820670056,0.04094473678543291,1.3574817467686264,7.209010576888961,7.357348211103541,False,-19.51173179329944,0.35734821110354087,False
1350.0,16.0,0.0,11.981473230603001,0.037958326737628036,1.3823684971670003,7.207362057823159,7.355719269143275,False,-18.018526769397,0.35571926914327534,False
1360.0,1.0,0.0,2.0463253398636674,0.06196022230220212,1.2512126971804731,7.216021858628201,7.364276229867305,False,-27.953674660136333,0.364276229867305,False
