rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,2980,,6.37,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,2980,,6.46,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,2980,,6.55,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,2980,,6.64,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Diabase,,辉绿岩,3003,,6.72,,,,100,MPa,25,mafic,,49.9,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3003,,6.76,,,,200,MPa,25,mafic,,49.9,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3003,,6.81,,,,400,MPa,25,mafic,,49.9,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3003,,6.84,,,,600,MPa,25,mafic,,49.9,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3012,,6.77,,3.75,,100,MPa,25,mafic,,51.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3012,,6.8,,3.77,,200,MPa,25,mafic,,51.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3012,,6.84,,3.81,,400,MPa,25,mafic,,51.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Diabase,,辉绿岩,3012,,6.88,,3.82,,600,MPa,25,mafic,,51.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（浅成）,-,基性浅成岩，常呈岩墙产出，与大陆裂谷有关
Gabbro,,辉长岩,3054,,6.93,,,,100,MPa,25,mafic,,52.8,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,洋壳下部主要岩石，与层状侵入体有关
Gabbro,,辉长岩,3054,,7.02,,,,200,MPa,25,mafic,,52.8,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,洋壳下部主要岩石，与层状侵入体有关
Gabbro,,辉长岩,3054,,7.11,,,,400,MPa,25,mafic,,52.8,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,洋壳下部主要岩石，与层状侵入体有关
Gabbro,,辉长岩,3054,,7.17,,,,600,MPa,25,mafic,,52.8,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,洋壳下部主要岩石，与层状侵入体有关
Amphibolite Madison Mont,,角闪岩,3120,,7.17,,4.13,,100,MPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Amphibolite Madison Mont,,角闪岩,3120,,7.21,,4.18,,200,MPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Amphibolite Madison Mont,,角闪岩,3120,,7.27,,4.25,,400,MPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Amphibolite Madison Mont,,角闪岩,3120,,7.31,,4.27,,600,MPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Jadeite,,硬玉岩,3180,,8.21,,4.71,,100,MPa,25,mafic (富钠),,58.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3180,,8.22,,4.72,,200,MPa,25,mafic (富钠),,58.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3180,,8.23,,4.78,,400,MPa,25,mafic (富钠),,58.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3180,,8.24,,3.203,,600,MPa,25,mafic (富钠),,58.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Actinolite Schist Chester Vt,,片岩,3194,,7.2,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Actinolite Schist Chester Vt,,片岩,3194,,7.32,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Actinolite Schist Chester Vt,,片岩,3194,,7.41,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Actinolite Schist Chester Vt,,片岩,3194,,7.47,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,3244,,7.54,,4.25,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,3244,,7.59,,4.28,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,3244,,7.65,,4.33,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Webster Nc,,纯橄榄岩-二辉橄榄岩-北卡,3244,,7.69,,4.36,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Pyroxenite Sonoma,,辉石岩,3247,,7.73,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Pyroxenite Sonoma,,辉石岩,3247,,7.79,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Pyroxenite Sonoma,,辉石岩,3247,,7.88,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Pyroxenite Sonoma,,辉石岩,3247,,7.93,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mt. Dun New England,,纯橄榄岩,3258,,7.75,,4.34,,100,MPa,25,ultramafic,,39.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mt. Dun New England,,纯橄榄岩,3258,,7.8,,4.37,,200,MPa,25,ultramafic,,39.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mt. Dun New England,,纯橄榄岩,3258,,7.86,,4.45,,400,MPa,25,ultramafic,,39.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mt. Dun New England,,纯橄榄岩,3258,,7.92,,4.48,,600,MPa,25,ultramafic,,39.5,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Balsam Gap. Nc,,纯橄榄岩-北卡,3267,,7.89,,,,100,MPa,25,ultramafic,,38.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Balsam Gap. Nc,,纯橄榄岩-北卡,3267,,8.01,,,,200,MPa,25,ultramafic,,38.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Balsam Gap. Nc,,纯橄榄岩-北卡,3267,,8.13,,,,400,MPa,25,ultramafic,,38.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Balsam Gap. Nc,,纯橄榄岩-北卡,3267,,8.19,,,,600,MPa,25,ultramafic,,38.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Stillwater,,古铜辉岩,3279,,7.62,,4.54,,100,MPa,25,,,54.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Stillwater,,古铜辉岩,3279,,7.65,,4.56,,200,MPa,25,,,54.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Stillwater,,古铜辉岩,3279,,7.72,,4.62,,400,MPa,25,,,54.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Stillwater,,古铜辉岩,3279,,7.75,,4.63,,600,MPa,25,,,54.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Bushveld,,古铜辉岩,3288,,7.49,,,,100,MPa,25,,,55.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Bushveld,,古铜辉岩,3288,,7.6,,,,200,MPa,25,,,55.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Bushveld,,古铜辉岩,3288,,7.75,,,,400,MPa,25,,,55.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Bronzitite Bushveld,,古铜辉岩,3288,,7.85,,,,600,MPa,25,,,55.4,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Addie Nc,,纯橄榄岩-北卡,3304,,7.99,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Addie Nc,,纯橄榄岩-北卡,3304,,8.05,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Addie Nc,,纯橄榄岩-北卡,3304,,8.14,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Addie Nc,,纯橄榄岩-北卡,3304,,8.2,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Twin Sisters,,纯橄榄岩,3312,,8.19,,4.67,,100,MPa,25,,,40.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Twin Sisters,,纯橄榄岩,3312,,8.27,,4.69,,200,MPa,25,,,40.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Twin Sisters,,纯橄榄岩,3312,,8.32,,4.77,,400,MPa,25,,,40.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Twin Sisters,,纯橄榄岩,3312,,8.35,,4.79,,600,MPa,25,,,40.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Tanganyika,,榴辉岩,3328,,7.38,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Tanganyika,,榴辉岩,3328,,7.46,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Tanganyika,,榴辉岩,3328,,7.57,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Tanganyika,,榴辉岩,3328,,7.62,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Jadeite,,硬玉岩,3331,,8.67,,,,100,MPa,25,mafic (富钠),,59.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3331,,8.69,,,,200,MPa,25,mafic (富钠),,59.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3331,,8.72,,,,400,MPa,25,mafic (富钠),,59.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Jadeite,,硬玉岩,3331,,8.75,,,,600,MPa,25,mafic (富钠),,59.3,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,高压蓝片岩相,高压变质岩，常见于俯冲带，指示低温高压
Eclogite Kimberley,,榴辉岩,3338,,7.56,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3338,,7.65,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3338,,7.79,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3338,,7.85,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Harzburgite,,方辉橄榄岩,3369,,7.78,,,,100,MPa,25,ultramafic,,41.2,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3369,,7.81,,,,200,MPa,25,ultramafic,,41.2,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3369,,7.85,,,,400,MPa,25,ultramafic,,41.2,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3369,,7.9,,,,600,MPa,25,ultramafic,,41.2,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Eclogite Kimberley,,榴辉岩,3376,,7.68,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3376,,7.73,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3376,,7.79,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Kimberley,,榴辉岩,3376,,7.82,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Sunnmore Norway,,榴辉岩,3376,,7.13,,,,100,MPa,25,,,48.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Sunnmore Norway,,榴辉岩,3376,,7.3,,,,200,MPa,25,,,48.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Sunnmore Norway,,榴辉岩,3376,,7.46,,,,400,MPa,25,,,48.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Sunnmore Norway,,榴辉岩,3376,,7.54,,,,600,MPa,25,,,48.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Healdsburg,,榴辉岩,3441,,7.69,,4.39,,100,MPa,25,,,48.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Healdsburg,,榴辉岩,3441,,7.81,,4.43,,200,MPa,25,,,48.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Healdsburg,,榴辉岩,3441,,7.89,,4.53,,400,MPa,25,,,48.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Eclogite Healdsburg,,榴辉岩,3441,,7.94,,4.55,,600,MPa,25,,,48.6,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Garnet,,石榴石岩,3561,,8.41,,,,100,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3561,,8.55,,,,200,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3561,,8.72,,,,400,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3561,,8.83,,,,600,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Dunite Mooihoek Mine,,纯橄榄岩,3744,,7.16,,3.76,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mooihoek Mine,,纯橄榄岩,3744,,7.21,,3.77,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mooihoek Mine,,纯橄榄岩,3744,,7.27,,3.83,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Dunite Mooihoek Mine,,纯橄榄岩,3744,,7.3,,3.86,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Garnet,,石榴石岩,3950,,7.81,,,,100,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3950,,7.91,,,,200,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3950,,7.99,,,,400,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Garnet,,石榴石岩,3950,,8.01,,,,600,MPa,25,pelitic/ultramafic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,变质岩,角闪岩相-榴辉岩相,富铝岩石高压变质产物，指示变质条件
Albitite,,钠长岩,2615,,6.24,,,,100,MPa,25,felsic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,常与碱性岩或热液交代作用有关，可含稀有元素
Albitite,,钠长岩,2615,,6.31,,,,200,MPa,25,felsic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,常与碱性岩或热液交代作用有关，可含稀有元素
Albitite,,钠长岩,2615,,6.4,,,,400,MPa,25,felsic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,常与碱性岩或热液交代作用有关，可含稀有元素
Albitite,,钠长岩,2615,,6.45,,,,600,MPa,25,felsic,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,火成岩,-,常与碱性岩或热液交代作用有关，可含稀有元素
Anorthosite New Glasgow,,斜长岩,2708,,6.69,,,,100,MPa,25,,,53.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite New Glasgow,,斜长岩,2708,,6.73,,,,200,MPa,25,,,53.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite New Glasgow,,斜长岩,2708,,6.78,,,,400,MPa,25,,,53.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite New Glasgow,,斜长岩,2708,,6.81,,,,600,MPa,25,,,53.7,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite Whiteface,,斜长岩,2712,,6.69,,,,100,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite Whiteface,,斜长岩,2712,,6.75,,,,200,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite Whiteface,,斜长岩,2712,,6.82,,,,400,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Anorthosite Whiteface,,斜长岩,2712,,6.85,,,,600,MPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict,,,
Metadacite,,变英安岩,2682,,5.965,,3.437,,100,MPa,25,felsic,,67.94,Miller&Christensen 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,英安岩变质产物，记录中酸性火山岩变质
Metadacite,,变英安岩,2682,,6.09,,3.504,,200,MPa,25,felsic,,67.94,Miller&Christensen 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,英安岩变质产物，记录中酸性火山岩变质
Metadacite,,变英安岩,2682,,6.201,,3.598,,400,MPa,25,felsic,,67.94,Miller&Christensen 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,英安岩变质产物，记录中酸性火山岩变质
Metadacite,,变英安岩,2682,,6.257,,3.62,,600,MPa,25,felsic,,67.94,Miller&Christensen 1994,compiled_518_strict,变质岩,绿片岩相-角闪岩相,英安岩变质产物，记录中酸性火山岩变质
Metaandesite,,变安山岩,2910,,6.533,,3.715,,100,MPa,25,,,56.02,Miller&Christensen 1994,compiled_518_strict,,,
Metaandesite,,变安山岩,2910,,6.637,,3.769,,200,MPa,25,,,56.02,Miller&Christensen 1994,compiled_518_strict,,,
Metaandesite,,变安山岩,2910,,6.722,,3.846,,400,MPa,25,,,56.02,Miller&Christensen 1994,compiled_518_strict,,,
Metaandesite,,变安山岩,2910,,6.76,,3.867,,600,MPa,25,,,56.02,Miller&Christensen 1994,compiled_518_strict,,,
Diorite,,闪长岩,2887,,6.262,,3.39,,100,MPa,25,intermediate,,51.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2887,,6.563,,3.553,,200,MPa,25,intermediate,,51.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2887,,6.792,,3.748,,400,MPa,25,intermediate,,51.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2887,,6.889,,3.78,,600,MPa,25,intermediate,,51.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Metadiorite,,变闪长岩,2967,,6.503,,3.595,,100,MPa,25,intermediate,,47.65,Miller&Christensen 1994,compiled_518_strict,变质岩,角闪岩相,闪长岩变质产物
Metadiorite,,变闪长岩,2967,,6.729,,3.72,,200,MPa,25,intermediate,,47.65,Miller&Christensen 1994,compiled_518_strict,变质岩,角闪岩相,闪长岩变质产物
Metadiorite,,变闪长岩,2967,,6.9,,3.849,,400,MPa,25,intermediate,,47.65,Miller&Christensen 1994,compiled_518_strict,变质岩,角闪岩相,闪长岩变质产物
Metadiorite,,变闪长岩,2967,,6.967,,3.866,,600,MPa,25,intermediate,,47.65,Miller&Christensen 1994,compiled_518_strict,变质岩,角闪岩相,闪长岩变质产物
Hb Diorite,,角闪石闪长岩,2940,,6.601,,3.6,,100,MPa,25,intermediate,,51.48,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，角闪石为主要暗色矿物
Hb Diorite,,角闪石闪长岩,2940,,6.766,,3.697,,200,MPa,25,intermediate,,51.48,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，角闪石为主要暗色矿物
Hb Diorite,,角闪石闪长岩,2940,,6.896,,3.81,,400,MPa,25,intermediate,,51.48,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，角闪石为主要暗色矿物
Hb Diorite,,角闪石闪长岩,2940,,6.958,,3.828,,600,MPa,25,intermediate,,51.48,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，角闪石为主要暗色矿物
Qtz Diorite,,石英闪长岩,2790,,6.131,,3.746,,100,MPa,25,intermediate,,75.71,Miller&Christensen 1994,compiled_518_strict,火成岩,-,富石英的碎云片麻岩（过时术语）
Qtz Diorite,,石英闪长岩,2790,,6.248,,3.827,,200,MPa,25,intermediate,,75.71,Miller&Christensen 1994,compiled_518_strict,火成岩,-,富石英的碎云片麻岩（过时术语）
Qtz Diorite,,石英闪长岩,2790,,6.342,,3.987,,400,MPa,25,intermediate,,75.71,Miller&Christensen 1994,compiled_518_strict,火成岩,-,富石英的碎云片麻岩（过时术语）
Qtz Diorite,,石英闪长岩,2790,,6.384,,3.955,,600,MPa,25,intermediate,,75.71,Miller&Christensen 1994,compiled_518_strict,火成岩,-,富石英的碎云片麻岩（过时术语）
Diorite,,闪长岩,3006,,6.94,,3.83,,100,MPa,25,intermediate,,43.75,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,3006,,7.033,,3.879,,200,MPa,25,intermediate,,43.75,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,3006,,7.118,,3.949,,400,MPa,25,intermediate,,43.75,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,3006,,7.166,,3.962,,600,MPa,25,intermediate,,43.75,Miller&Christensen 1994,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Hb Gabbronorite,,角闪石辉长苏长岩,3022,,7.375,,4.039,,100,MPa,25,mafic,,44.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含角闪石的辉长苏长岩，含水岩浆结晶
Hb Gabbronorite,,角闪石辉长苏长岩,3022,,7.459,,4.108,,200,MPa,25,mafic,,44.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含角闪石的辉长苏长岩，含水岩浆结晶
Hb Gabbronorite,,角闪石辉长苏长岩,3022,,7.53,,4.137,,400,MPa,25,mafic,,44.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含角闪石的辉长苏长岩，含水岩浆结晶
Hb Gabbronorite,,角闪石辉长苏长岩,3022,,7.57,,4.138,,600,MPa,25,mafic,,44.6,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含角闪石的辉长苏长岩，含水岩浆结晶
Olivine Gabbro,,橄榄辉长岩,3022,,7.234,,3.962,,100,MPa,25,mafic,,42.62,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含橄榄石的辉长岩，代表更原始的基性岩浆
Olivine Gabbro,,橄榄辉长岩,3022,,7.329,,4.027,,200,MPa,25,mafic,,42.62,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含橄榄石的辉长岩，代表更原始的基性岩浆
Olivine Gabbro,,橄榄辉长岩,3022,,7.402,,4.079,,400,MPa,25,mafic,,42.62,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含橄榄石的辉长岩，代表更原始的基性岩浆
Olivine Gabbro,,橄榄辉长岩,3022,,7.442,,4.087,,600,MPa,25,mafic,,42.62,Miller&Christensen 1994,compiled_518_strict,火成岩,-,含橄榄石的辉长岩，代表更原始的基性岩浆
Gabbronorite,,辉长苏长岩,2957,,6.854,,3.794,,100,MPa,25,mafic,,49.96,Miller&Christensen 1994,compiled_518_strict,火成岩,-,辉长岩与苏长岩过渡类型，含两种辉石
