rock_type,abbrev,岩石属性,density,density_unit,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method
Augite Syenite Ontario,,,2.780,g/cm3,,6.730,,,,0.600,GPa,25,,,55.800,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Mica Schist Woodsville Vt,,,2.797,g/cm3,,6.430,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Mica Schist Woodsville Vt,,,2.797,g/cm3,,6.480,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Mica Schist Woodsville Vt,,,2.797,g/cm3,,6.530,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Mica Schist Woodsville Vt,,,2.797,g/cm3,,6.570,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Serpentinite,,,2.798,g/cm3,,6.510,,3.690,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Serpentinite,,,2.798,g/cm3,,6.570,,3.700,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Serpentinite,,,2.798,g/cm3,,6.670,,3.770,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Serpentinite,,,2.798,g/cm3,,6.740,,3.800,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.798,g/cm3,,6.430,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.798,g/cm3,,6.520,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.798,g/cm3,,6.600,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.798,g/cm3,,6.640,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Bushveld,,,2.807,g/cm3,,6.980,,,,0.100,GPa,25,,,47.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Bushveld,,,2.807,g/cm3,,7.050,,,,0.200,GPa,25,,,47.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Bushveld,,,2.807,g/cm3,,7.130,,,,0.400,GPa,25,,,47.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Bushveld,,,2.807,g/cm3,,7.160,,,,0.600,GPa,25,,,47.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Chlorite Schist Chester Quarry,,,2.841,g/cm3,,6.750,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Chlorite Schist Chester Quarry,,,2.841,g/cm3,,6.820,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Chlorite Schist Chester Quarry,,,2.841,g/cm3,,6.920,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Chlorite Schist Chester Quarry,,,2.841,g/cm3,,6.980,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.906,g/cm3,,6.460,,3.650,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.906,g/cm3,,6.530,,3.690,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.906,g/cm3,,6.600,,3.780,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Quartz Diorite,,,2.906,g/cm3,,6.650,,3.810,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Talc Schist,,,2.914,g/cm3,,6.300,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Talc Schist,,,2.914,g/cm3,,6.500,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Talc Schist,,,2.914,g/cm3,,6.710,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Talc Schist,,,2.914,g/cm3,,6.820,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,2.931,g/cm3,,7.070,,,,0.100,GPa,25,,,47.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,2.931,g/cm3,,7.090,,,,0.200,GPa,25,,,47.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,2.931,g/cm3,,7.130,,,,0.400,GPa,25,,,47.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,2.931,g/cm3,,7.160,,,,0.600,GPa,25,,,47.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.964,g/cm3,,6.640,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.964,g/cm3,,6.670,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.964,g/cm3,,6.710,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.964,g/cm3,,6.750,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.976,g/cm3,,6.700,,3.640,,0.100,GPa,25,,,52.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.976,g/cm3,,6.760,,3.680,,0.200,GPa,25,,,52.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.976,g/cm3,,6.820,,3.750,,0.400,GPa,25,,,52.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.976,g/cm3,,6.860,,3.770,,0.600,GPa,25,,,52.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.977,g/cm3,,6.430,,,,0.100,GPa,25,,,52.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.977,g/cm3,,6.470,,,,0.200,GPa,25,,,52.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.977,g/cm3,,6.520,,,,0.400,GPa,25,,,52.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,2.977,g/cm3,,6.560,,,,0.600,GPa,25,,,52.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Norite,,,2.978,g/cm3,,7.070,,3.810,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Norite,,,2.978,g/cm3,,7.110,,3.840,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Norite,,,2.978,g/cm3,,7.160,,3.890,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Norite,,,2.978,g/cm3,,7.200,,3.900,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,2.980,g/cm3,,6.370,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,2.980,g/cm3,,6.460,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,2.980,g/cm3,,6.550,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,2.980,g/cm3,,6.640,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.003,g/cm3,,6.720,,,,0.100,GPa,25,,,49.900,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.003,g/cm3,,6.760,,,,0.200,GPa,25,,,49.900,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.003,g/cm3,,6.810,,,,0.400,GPa,25,,,49.900,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.003,g/cm3,,6.840,,,,0.600,GPa,25,,,49.900,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.012,g/cm3,,6.770,,3.750,,0.100,GPa,25,,,51.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.012,g/cm3,,6.800,,3.770,,0.200,GPa,25,,,51.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.012,g/cm3,,6.840,,3.810,,0.400,GPa,25,,,51.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Diabase,,,3.012,g/cm3,,6.880,,3.820,,0.600,GPa,25,,,51.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,3.054,g/cm3,,6.930,,,,0.100,GPa,25,,,52.800,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,3.054,g/cm3,,7.020,,,,0.200,GPa,25,,,52.800,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,3.054,g/cm3,,7.110,,,,0.400,GPa,25,,,52.800,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Gabbro,,,3.054,g/cm3,,7.170,,,,0.600,GPa,25,,,52.800,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Amphibolite Madison Mont,,,3.120,g/cm3,,7.170,,4.130,,0.100,GPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Amphibolite Madison Mont,,,3.120,g/cm3,,7.210,,4.180,,0.200,GPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Amphibolite Madison Mont,,,3.120,g/cm3,,7.270,,4.250,,0.400,GPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Amphibolite Madison Mont,,,3.120,g/cm3,,7.310,,4.270,,0.600,GPa,25,mafic,amphibolite,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.180,g/cm3,,8.210,,4.710,,0.100,GPa,25,,,58.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.180,g/cm3,,8.220,,4.720,,0.200,GPa,25,,,58.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.180,g/cm3,,8.230,,4.780,,0.400,GPa,25,,,58.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.180,g/cm3,,8.240,,3.203,,0.600,GPa,25,,,58.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Actinolite Schist Chester Vt,,,3.194,g/cm3,,7.200,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Actinolite Schist Chester Vt,,,3.194,g/cm3,,7.320,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Actinolite Schist Chester Vt,,,3.194,g/cm3,,7.410,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Actinolite Schist Chester Vt,,,3.194,g/cm3,,7.470,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,3.244,g/cm3,,7.540,,4.250,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,3.244,g/cm3,,7.590,,4.280,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,3.244,g/cm3,,7.650,,4.330,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Webster Nc,,,3.244,g/cm3,,7.690,,4.360,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Pyroxenite Sonoma,,,3.247,g/cm3,,7.730,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Pyroxenite Sonoma,,,3.247,g/cm3,,7.790,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Pyroxenite Sonoma,,,3.247,g/cm3,,7.880,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Pyroxenite Sonoma,,,3.247,g/cm3,,7.930,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mt. Dun New England,,,3.258,g/cm3,,7.750,,4.340,,0.100,GPa,25,ultramafic,,39.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mt. Dun New England,,,3.258,g/cm3,,7.800,,4.370,,0.200,GPa,25,ultramafic,,39.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mt. Dun New England,,,3.258,g/cm3,,7.860,,4.450,,0.400,GPa,25,ultramafic,,39.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mt. Dun New England,,,3.258,g/cm3,,7.920,,4.480,,0.600,GPa,25,ultramafic,,39.500,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Balsam Gap. Nc,,,3.267,g/cm3,,7.890,,,,0.100,GPa,25,ultramafic,,38.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Balsam Gap. Nc,,,3.267,g/cm3,,8.010,,,,0.200,GPa,25,ultramafic,,38.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Balsam Gap. Nc,,,3.267,g/cm3,,8.130,,,,0.400,GPa,25,ultramafic,,38.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Balsam Gap. Nc,,,3.267,g/cm3,,8.190,,,,0.600,GPa,25,ultramafic,,38.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Stillwater,,,3.279,g/cm3,,7.620,,4.540,,0.100,GPa,25,,,54.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Stillwater,,,3.279,g/cm3,,7.650,,4.560,,0.200,GPa,25,,,54.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Stillwater,,,3.279,g/cm3,,7.720,,4.620,,0.400,GPa,25,,,54.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Stillwater,,,3.279,g/cm3,,7.750,,4.630,,0.600,GPa,25,,,54.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Bushveld,,,3.288,g/cm3,,7.490,,,,0.100,GPa,25,,,55.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Bushveld,,,3.288,g/cm3,,7.600,,,,0.200,GPa,25,,,55.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Bushveld,,,3.288,g/cm3,,7.750,,,,0.400,GPa,25,,,55.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Bronzitite Bushveld,,,3.288,g/cm3,,7.850,,,,0.600,GPa,25,,,55.400,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Addie Nc,,,3.304,g/cm3,,7.990,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Addie Nc,,,3.304,g/cm3,,8.050,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Addie Nc,,,3.304,g/cm3,,8.140,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Addie Nc,,,3.304,g/cm3,,8.200,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Twin Sisters,,,3.312,g/cm3,,8.190,,4.670,,0.100,GPa,25,,,40.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Twin Sisters,,,3.312,g/cm3,,8.270,,4.690,,0.200,GPa,25,,,40.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Twin Sisters,,,3.312,g/cm3,,8.320,,4.770,,0.400,GPa,25,,,40.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Twin Sisters,,,3.312,g/cm3,,8.350,,4.790,,0.600,GPa,25,,,40.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Tanganyika,,,3.328,g/cm3,,7.380,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Tanganyika,,,3.328,g/cm3,,7.460,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Tanganyika,,,3.328,g/cm3,,7.570,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Tanganyika,,,3.328,g/cm3,,7.620,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.331,g/cm3,,8.670,,,,0.100,GPa,25,,,59.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.331,g/cm3,,8.690,,,,0.200,GPa,25,,,59.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.331,g/cm3,,8.720,,,,0.400,GPa,25,,,59.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Jadeite,,,3.331,g/cm3,,8.750,,,,0.600,GPa,25,,,59.300,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.338,g/cm3,,7.560,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.338,g/cm3,,7.650,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.338,g/cm3,,7.790,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.338,g/cm3,,7.850,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Harzburgite,,,3.369,g/cm3,,7.780,,,,0.100,GPa,25,,,41.200,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Harzburgite,,,3.369,g/cm3,,7.810,,,,0.200,GPa,25,,,41.200,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Harzburgite,,,3.369,g/cm3,,7.850,,,,0.400,GPa,25,,,41.200,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Harzburgite,,,3.369,g/cm3,,7.900,,,,0.600,GPa,25,,,41.200,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.376,g/cm3,,7.680,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.376,g/cm3,,7.730,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.376,g/cm3,,7.790,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Kimberley,,,3.376,g/cm3,,7.820,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Sunnmore Norway,,,3.376,g/cm3,,7.130,,,,0.100,GPa,25,,,48.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Sunnmore Norway,,,3.376,g/cm3,,7.300,,,,0.200,GPa,25,,,48.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Sunnmore Norway,,,3.376,g/cm3,,7.460,,,,0.400,GPa,25,,,48.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Sunnmore Norway,,,3.376,g/cm3,,7.540,,,,0.600,GPa,25,,,48.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Healdsburg,,,3.441,g/cm3,,7.690,,4.390,,0.100,GPa,25,,,48.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Healdsburg,,,3.441,g/cm3,,7.810,,4.430,,0.200,GPa,25,,,48.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Healdsburg,,,3.441,g/cm3,,7.890,,4.530,,0.400,GPa,25,,,48.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Eclogite Healdsburg,,,3.441,g/cm3,,7.940,,4.550,,0.600,GPa,25,,,48.600,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.561,g/cm3,,8.410,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.561,g/cm3,,8.550,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.561,g/cm3,,8.720,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.561,g/cm3,,8.830,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mooihoek Mine,,,3.744,g/cm3,,7.160,,3.760,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mooihoek Mine,,,3.744,g/cm3,,7.210,,3.770,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mooihoek Mine,,,3.744,g/cm3,,7.270,,3.830,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Dunite Mooihoek Mine,,,3.744,g/cm3,,7.300,,3.860,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.950,g/cm3,,7.810,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.950,g/cm3,,7.910,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.950,g/cm3,,7.990,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Garnet,,,3.950,g/cm3,,8.010,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Albitite,,,2.615,g/cm3,,6.240,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Albitite,,,2.615,g/cm3,,6.310,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Albitite,,,2.615,g/cm3,,6.400,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Albitite,,,2.615,g/cm3,,6.450,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite New Glasgow,,,2.708,g/cm3,,6.690,,,,0.100,GPa,25,,,53.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite New Glasgow,,,2.708,g/cm3,,6.730,,,,0.200,GPa,25,,,53.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite New Glasgow,,,2.708,g/cm3,,6.780,,,,0.400,GPa,25,,,53.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite New Glasgow,,,2.708,g/cm3,,6.810,,,,0.600,GPa,25,,,53.700,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Whiteface,,,2.712,g/cm3,,6.690,,,,0.100,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Whiteface,,,2.712,g/cm3,,6.750,,,,0.200,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Whiteface,,,2.712,g/cm3,,6.820,,,,0.400,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Anorthosite Whiteface,,,2.712,g/cm3,,6.850,,,,0.600,GPa,25,,,,"Birch 1960,1961;                  Simmons, 1964",compiled_518_strict
Metadacite,,,2.682,g/cm3,,5.965,,3.437,,0.100,GPa,25,,,67.940,Miller&Christensen 1994,compiled_518_strict
Metadacite,,,2.682,g/cm3,,6.090,,3.504,,0.200,GPa,25,,,67.940,Miller&Christensen 1994,compiled_518_strict
Metadacite,,,2.682,g/cm3,,6.201,,3.598,,0.400,GPa,25,,,67.940,Miller&Christensen 1994,compiled_518_strict
Metadacite,,,2.682,g/cm3,,6.257,,3.620,,0.600,GPa,25,,,67.940,Miller&Christensen 1994,compiled_518_strict
Metaandesite,,,2.910,g/cm3,,6.533,,3.715,,0.100,GPa,25,,,56.020,Miller&Christensen 1994,compiled_518_strict
Metaandesite,,,2.910,g/cm3,,6.637,,3.769,,0.200,GPa,25,,,56.020,Miller&Christensen 1994,compiled_518_strict
Metaandesite,,,2.910,g/cm3,,6.722,,3.846,,0.400,GPa,25,,,56.020,Miller&Christensen 1994,compiled_518_strict
Metaandesite,,,2.910,g/cm3,,6.760,,3.867,,0.600,GPa,25,,,56.020,Miller&Christensen 1994,compiled_518_strict
Diorite,,,2.887,g/cm3,,6.262,,3.390,,0.100,GPa,25,,,51.600,Miller&Christensen 1994,compiled_518_strict
Diorite,,,2.887,g/cm3,,6.563,,3.553,,0.200,GPa,25,,,51.600,Miller&Christensen 1994,compiled_518_strict
Diorite,,,2.887,g/cm3,,6.792,,3.748,,0.400,GPa,25,,,51.600,Miller&Christensen 1994,compiled_518_strict
Diorite,,,2.887,g/cm3,,6.889,,3.780,,0.600,GPa,25,,,51.600,Miller&Christensen 1994,compiled_518_strict
Metadiorite,,,2.967,g/cm3,,6.503,,3.595,,0.100,GPa,25,,,47.650,Miller&Christensen 1994,compiled_518_strict
Metadiorite,,,2.967,g/cm3,,6.729,,3.720,,0.200,GPa,25,,,47.650,Miller&Christensen 1994,compiled_518_strict
Metadiorite,,,2.967,g/cm3,,6.900,,3.849,,0.400,GPa,25,,,47.650,Miller&Christensen 1994,compiled_518_strict
Metadiorite,,,2.967,g/cm3,,6.967,,3.866,,0.600,GPa,25,,,47.650,Miller&Christensen 1994,compiled_518_strict
Hb Diorite,,,2.940,g/cm3,,6.601,,3.600,,0.100,GPa,25,,,51.480,Miller&Christensen 1994,compiled_518_strict
Hb Diorite,,,2.940,g/cm3,,6.766,,3.697,,0.200,GPa,25,,,51.480,Miller&Christensen 1994,compiled_518_strict
Hb Diorite,,,2.940,g/cm3,,6.896,,3.810,,0.400,GPa,25,,,51.480,Miller&Christensen 1994,compiled_518_strict
Hb Diorite,,,2.940,g/cm3,,6.958,,3.828,,0.600,GPa,25,,,51.480,Miller&Christensen 1994,compiled_518_strict
Qtz Diorite,,,2.790,g/cm3,,6.131,,3.746,,0.100,GPa,25,,,75.710,Miller&Christensen 1994,compiled_518_strict
Qtz Diorite,,,2.790,g/cm3,,6.248,,3.827,,0.200,GPa,25,,,75.710,Miller&Christensen 1994,compiled_518_strict
Qtz Diorite,,,2.790,g/cm3,,6.342,,3.987,,0.400,GPa,25,,,75.710,Miller&Christensen 1994,compiled_518_strict
