model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
72.207000,84.860000,-12.653000,0.991831,nan,nan,nan,nan
72.358000,84.860000,-12.502000,0.991215,nan,nan,nan,nan
72.512000,84.860000,-12.348000,0.990243,nan,nan,nan,nan
72.673000,84.860000,-12.187000,0.987819,nan,nan,nan,nan
72.827000,84.860000,-12.033000,0.984009,nan,nan,nan,nan
72.988000,84.860000,-11.872000,0.979789,nan,nan,nan,nan
73.139000,84.860000,-11.721000,0.974282,nan,nan,nan,nan
73.300000,84.860000,-11.560000,0.967446,nan,nan,nan,nan
73.451000,84.860000,-11.409000,0.959252,nan,nan,nan,nan
73.615000,84.860000,-11.245000,0.949607,nan,nan,nan,nan
73.769000,84.860000,-11.091000,0.940551,nan,nan,nan,nan
73.930000,84.860000,-10.930000,0.931082,nan,nan,nan,nan
74.091000,84.860000,-10.769000,0.921614,nan,nan,nan,nan
74.242000,84.860000,-10.618000,0.912734,nan,nan,nan,nan
96.089000,84.860000,11.229000,0.930974,nan,nan,nan,nan
96.250000,84.860000,11.390000,0.933471,nan,nan,nan,nan
96.415000,84.860000,11.555000,0.936031,nan,nan,nan,nan
96.565000,84.860000,11.705000,0.938357,nan,nan,nan,nan
96.727000,84.860000,11.867000,0.940870,nan,nan,nan,nan
96.880000,84.860000,12.020000,0.943244,nan,nan,nan,nan
97.042000,84.860000,12.182000,0.945098,nan,nan,nan,nan
97.203000,84.860000,12.343000,0.947532,nan,nan,nan,nan
97.353000,84.860000,12.493000,0.949531,nan,nan,nan,nan
97.515000,84.860000,12.655000,0.951769,nan,nan,nan,nan
97.676000,84.860000,12.816000,0.952910,nan,nan,nan,nan
97.827000,84.860000,12.967000,0.953590,nan,nan,nan,nan
97.988000,84.860000,13.128000,0.954251,nan,nan,nan,nan
98.146000,84.860000,13.286000,0.955283,nan,nan,nan,nan
98.297000,84.860000,13.437000,0.954521,nan,nan,nan,nan
98.458000,84.860000,13.598000,0.952274,nan,nan,nan,nan
98.606000,84.860000,13.746000,0.951847,nan,nan,nan,nan
98.767000,84.860000,13.907000,0.950132,nan,nan,nan,nan
98.918000,84.860000,14.058000,0.948035,nan,nan,nan,nan
99.068000,84.860000,14.208000,0.947482,nan,nan,nan,nan
99.227000,84.860000,14.367000,0.947029,nan,nan,nan,nan
99.377000,84.860000,14.517000,0.948263,nan,nan,nan,nan
99.539000,84.860000,14.679000,0.949295,nan,nan,nan,nan
99.689000,84.860000,14.829000,0.948698,nan,nan,nan,nan
99.840000,84.860000,14.980000,0.946641,nan,nan,nan,nan
100.001000,84.860000,15.141000,0.945586,nan,nan,nan,nan
100.152000,84.860000,15.292000,0.947337,nan,nan,nan,nan
100.313000,84.860000,15.453000,0.948466,nan,nan,nan,nan
100.464000,84.860000,15.604000,0.949932,nan,nan,nan,nan
100.615000,84.860000,15.755000,0.951150,nan,nan,nan,nan
100.776000,84.860000,15.916000,0.949423,nan,nan,nan,nan
100.927000,84.860000,16.067000,0.948255,nan,nan,nan,nan
101.080000,84.860000,16.220000,0.944958,nan,nan,nan,nan
101.231000,84.860000,16.371000,0.942315,nan,nan,nan,nan
